order_id,employee_id,order_date,amount
1,1276,2020-11-19,8442.49
2,1250,2021-06-05,3388.65
3,1491,2021-12-21,9057.71
4,1372,2022-09-20,9547.8
5,771,2022-07-16,9582.41
6,688,2022-07-22,2313.92
7,1969,2025-05-14,576.64
8,690,2024-08-02,4762.99
9,1497,2022-10-10,5502.49
10,1433,2025-02-21,4566.17
11,1807,2022-03-29,2523.72
12,627,2021-05-28,349.22
13,276,2022-07-05,4588.53
14,1103,2025-08-22,6003.1
15,748,2022-10-31,3909.94
16,1894,2024-10-30,7771.48
17,718,2023-06-19,1040.53
18,163,2025-06-20,4518.15
19,853,2021-11-08,5564.39
20,230,2025-09-12,9225.46
21,419,2022-07-10,9418.67
22,491,2022-06-15,5751.99
23,229,2023-03-08,2577.92
24,1645,2022-11-04,5577.46
25,1063,2023-03-28,345.41
26,617,2021-03-19,4240.51
27,197,2021-10-03,7989.78
28,1741,2021-12-28,9580.33
29,1053,2023-12-01,9475.3
30,1673,2023-09-12,2023.94
31,505,2025-02-09,4882.72
32,1720,2021-07-15,9351.89
33,910,2021-04-05,4532.65
34,151,2024-09-05,7985.69
35,1295,2021-12-18,6979.39
36,347,2024-03-21,6616.1
37,463,2022-03-29,408.04
38,704,2024-05-08,6593.92
39,776,2022-11-30,4454.34
40,711,2022-02-24,951.49
41,1421,2021-05-17,9893.01
42,1171,2025-03-01,4282.09
43,1596,2023-09-25,550.22
44,30,2021-03-30,9376.32
45,170,2021-09-02,3713.89
46,1009,2022-07-16,4921.6
47,1804,2023-07-21,9324.17
48,421,2021-09-28,2742.11
49,663,2025-05-04,3604.6
50,1584,2022-12-13,9073.81
51,1811,2025-07-17,2379.94
52,693,2020-11-01,1657.67
53,526,2023-02-09,3306.11
54,966,2025-02-04,6204.74
55,990,2022-04-01,7359.4
56,649,2023-02-03,4044.34
57,1980,2022-06-15,9303.44
58,881,2023-10-11,3704.52
59,1632,2023-06-29,323.88
60,1791,2021-04-08,5335.99
61,1517,2023-03-12,715.03
62,210,2020-10-26,556.05
63,1644,2024-11-08,6263.89
64,1668,2024-12-02,6734.76
65,481,2024-09-18,7369.87
66,929,2024-12-26,7987.29
67,437,2021-06-20,5920.23
68,1272,2025-08-14,542.56
69,978,2024-11-21,4403.65
70,97,2020-10-03,3411.46
71,778,2024-08-13,3716.4
72,1673,2021-03-16,2550.48
73,1622,2022-07-30,9166.57
74,1687,2021-09-16,9901.87
75,616,2025-06-25,9962.5
76,1851,2023-03-22,8352.55
77,739,2022-07-19,7576.84
78,1276,2024-05-20,576.93
79,78,2022-08-02,3275.85
80,1776,2023-01-21,8664.4
81,341,2023-05-08,7153.36
82,1211,2025-07-29,7036.56
83,1458,2021-06-09,5468.9
84,1336,2024-02-07,7795.26
85,1755,2022-10-07,7435.16
86,1763,2023-10-07,2075.14
87,1488,2021-04-18,856.04
88,289,2024-01-16,3564.52
89,1899,2025-03-05,4543.25
90,1866,2025-04-29,555.87
91,1900,2021-03-04,6198.25
92,871,2023-04-18,4893.88
93,741,2023-03-12,2817.67
94,1835,2022-08-27,1614.34
95,1267,2021-11-28,6514.44
96,1947,2023-10-15,7192.59
97,1751,2020-10-28,4856.36
98,445,2023-05-31,1648.54
99,239,2025-05-07,6551.21
100,36,2023-03-16,8958.79
101,124,2025-01-01,940.99
102,1527,2024-05-10,4438.91
103,211,2025-05-13,2527.3
104,1518,2024-12-25,5418.35
105,826,2021-09-30,6389.06
106,1953,2021-09-11,4234.01
107,122,2022-12-05,1896.87
108,972,2023-08-29,2734.09
109,406,2024-08-14,6555.97
110,1727,2025-02-11,1819.8
111,272,2024-12-19,9061.84
112,659,2023-07-13,4861.03
113,959,2023-04-17,5982.77
114,182,2025-05-02,8503.64
115,1390,2024-07-13,608.69
116,1475,2021-03-21,7842.66
117,1795,2023-11-07,2553.56
118,24,2022-04-15,4667.4
119,1851,2022-06-14,103.92
120,1445,2023-03-06,5609.38
121,18,2025-07-14,4401.97
122,438,2023-10-25,6736.07
123,1236,2025-08-20,1340.18
124,221,2021-09-03,6832.55
125,262,2021-06-25,4184.52
126,1064,2021-06-20,6425.23
127,915,2023-11-09,1202.32
128,198,2021-06-07,9160.03
129,300,2025-08-06,8371.54
130,1086,2021-06-14,3900.14
131,1330,2025-08-21,5559.3
132,1090,2021-02-06,5261.81
133,1739,2024-10-03,5318.3
